dataset,horizon,paper_mse,paper_mae,baseline_mse_mean,baseline_mse_std,baseline_mae_mean,baseline_n,SRSNet_TransformerEncoder_mse_mean,SRSNet_TransformerEncoder_mse_std,SRSNet_TransformerEncoder_mae_mean,SRSNet_TransformerEncoder_mae_std,SRSNet_TransformerEncoder_n,SRSNet_TASP_TransformerEncoder_mse_mean,SRSNet_TASP_TransformerEncoder_mse_std,SRSNet_TASP_TransformerEncoder_mae_mean,SRSNet_TASP_TransformerEncoder_mae_std,SRSNet_TASP_TransformerEncoder_n,SRSNet_HypernetAF_TransformerEncoder_mse_mean,SRSNet_HypernetAF_TransformerEncoder_mse_std,SRSNet_HypernetAF_TransformerEncoder_mae_mean,SRSNet_HypernetAF_TransformerEncoder_mae_std,SRSNet_HypernetAF_TransformerEncoder_n,SRSNet_PSRS_TransformerEncoder_mse_mean,SRSNet_PSRS_TransformerEncoder_mse_std,SRSNet_PSRS_TransformerEncoder_mae_mean,SRSNet_PSRS_TransformerEncoder_mae_std,SRSNet_PSRS_TransformerEncoder_n
ETTh1,96,0.3660,0.3940,0.4360,0.0006,0.4531,5,0.4335,0.0051,0.4621,0.0036,5,0.4360,0.0068,0.4642,0.0041,5,0.4312,0.0029,0.4608,0.0027,5,0.4346,0.0063,0.4631,0.0038,5
ETTh1,192,0.4000,0.4150,,,,,0.4910,0.0034,0.5030,0.0028,5,0.4922,0.0072,0.5033,0.0066,5,0.4870,0.0026,0.4986,0.0022,5,0.4903,0.0070,0.5009,0.0055,5
ETTh1,336,0.4240,0.4300,,,,,0.5318,0.0107,0.5264,0.0044,5,0.5320,0.0049,0.5273,0.0019,5,0.5351,0.0038,0.5278,0.0015,5,0.5317,0.0040,0.5272,0.0016,5
ETTh1,720,0.4260,0.4550,0.6604,0.0028,0.6045,5,0.6905,0.0229,0.6349,0.0168,5,0.6678,0.0089,0.6171,0.0091,5,0.6671,0.0130,0.6177,0.0121,5,0.6874,0.0147,0.6341,0.0077,5
ETTh2,96,0.2710,0.3380,,,,,0.2418,0.0007,0.3347,0.0029,5,0.2441,0.0054,0.3346,0.0038,5,0.2381,0.0040,0.3334,0.0039,5,0.2396,0.0036,0.3328,0.0016,5
ETTh2,192,0.3350,0.3790,,,,,0.2994,0.0134,0.3741,0.0107,5,0.2991,0.0096,0.3746,0.0088,5,0.2975,0.0092,0.3719,0.0082,5,0.2912,0.0026,0.3690,0.0029,5
ETTh2,336,0.3230,0.3810,,,,,0.3429,0.0064,0.3978,0.0032,5,0.3455,0.0072,0.4018,0.0046,5,0.3467,0.0088,0.4023,0.0070,5,0.3505,0.0105,0.4035,0.0069,5
ETTh2,720,0.3990,0.4410,,,,,0.4507,0.0223,0.4629,0.0135,5,0.4338,0.0101,0.4536,0.0073,5,0.4256,0.0149,0.4475,0.0089,5,0.4447,0.0211,0.4600,0.0107,5
ETTm1,96,0.2880,0.3410,,,,,0.3282,0.0059,0.3771,0.0045,5,0.3259,0.0016,0.3753,0.0018,5,0.3296,0.0042,0.3777,0.0026,5,0.3218,0.0031,0.3744,0.0019,5
ETTm1,192,0.3290,0.3670,,,,,0.3895,0.0046,0.4199,0.0053,5,0.3865,0.0072,0.4154,0.0057,5,0.3764,0.0055,0.4097,0.0032,5,0.3771,0.0064,0.4113,0.0034,5
ETTm1,336,0.3650,0.3870,,,,,0.4209,0.0067,0.4441,0.0050,5,0.4259,0.0036,0.4445,0.0026,5,0.4206,0.0046,0.4440,0.0035,5,0.4185,0.0037,0.4415,0.0031,5
ETTm1,720,0.4210,0.4180,,,,,0.4749,0.0039,0.4821,0.0019,5,0.4871,0.0019,0.4863,0.0033,5,0.4827,0.0044,0.4848,0.0033,5,0.4750,0.0044,0.4823,0.0033,5
ETTm2,96,0.1640,0.2540,0.1481,0.0011,0.2529,5,0.1529,0.0053,0.2617,0.0058,5,0.1527,0.0038,0.2582,0.0018,5,0.1524,0.0028,0.2573,0.0023,5,0.1530,0.0041,0.2578,0.0034,5
ETTm2,192,0.2200,0.2910,,,,,0.1945,0.0075,0.2958,0.0036,5,0.1987,0.0076,0.2968,0.0048,5,0.1893,0.0023,0.2934,0.0016,5,0.1956,0.0042,0.2954,0.0018,5
ETTm2,336,0.2730,0.3270,,,,,0.2309,0.0080,0.3233,0.0046,5,0.2280,0.0015,0.3195,0.0019,5,0.2284,0.0028,0.3203,0.0030,5,0.2334,0.0098,0.3230,0.0047,5
ETTm2,720,0.3500,0.3830,0.2708,0.0060,0.3481,5,0.2945,0.0083,0.3688,0.0066,5,0.2920,0.0055,0.3648,0.0065,5,0.2866,0.0059,0.3601,0.0056,5,0.2976,0.0106,0.3696,0.0071,5
